transaction_id,user_id,sender_upi,receiver_upi,amount,currency,status,upi_app,bank,category,created_at,device_type,city
TXN0000001,USR00217,michaelpant@oksbi,anthonyvenkataraman@oksbi,29541.49,INR,SUCCESS,PhonePe,Axis,Travel,2024-11-23 13:15:14,Web,Bengaluru
TXN0000002,USR00358,dsarkar@ybl,ranganathanfrado@okicici,146.31,INR,PENDING,Paytm,ICICI,Travel,2024-10-14 22:26:14,iOS,Mumbai
TXN0000003,USR00041,kchauhan@axl,ishita37@okicici,3783.79,INR,FAILED,CRED,PNB,Rent,2024-02-17 19:54:22,Android,Mumbai
TXN0000004,USR00084,rkeer@okicici,chaman05@okicici,1750.88,INR,SUCCESS,Google Pay,Kotak,Shopping,2024-01-24 09:05:54,Web,Delhi
TXN0000005,USR00394,ganesankashvi@oksbi,anshdada@okhdfcbank,3596.73,INR,SUCCESS,PhonePe,PNB,Education,2024-09-30 05:29:24,iOS,Mumbai
TXN0000006,USR00074,darsh58@okicici,cvirk@okhdfcbank,2280.34,INR,SUCCESS,Google Pay,Kotak,Rent,2024-04-18 18:56:45,iOS,Kolkata
TXN0000007,USR00057,ekantakohli@okhdfcbank,barmanwidisha@paytm,1.42,INR,SUCCESS,Google Pay,BOB,Rent,2024-07-04 10:32:31,Android,Kolkata
TXN0000008,USR00275,venkateshvinaya@okicici,mohini45@paytm,37432.48,INR,FAILED,Paytm,HDFC,Entertainment,2024-07-14 14:33:16,iOS,Delhi
TXN0000009,USR00260,victor05@axl,goyalmeghana@okhdfcbank,18430.02,INR,SUCCESS,Google Pay,PNB,Utilities,2024-08-20 13:32:48,Web,Bengaluru
TXN0000010,USR00291,rdubey@oksbi,lmangat@oksbi,492.81,INR,SUCCESS,CRED,Canara,Shopping,2024-11-02 08:07:59,Web,Delhi
TXN0000011,USR00354,chadkamala@okhdfcbank,chaman14@paytm,46801.11,INR,SUCCESS,Paytm,BOB,Healthcare,2024-03-06 17:10:16,iOS,Ahmedabad
TXN0000012,USR00031,bakhshi59@okhdfcbank,dinaashi@oksbi,8194.69,INR,PENDING,PhonePe,PNB,Shopping,2024-03-02 09:21:01,Web,Hyderabad
TXN0000013,USR00209,henry21@okhdfcbank,nidhi27@oksbi,3092.95,INR,FAILED,PhonePe,BOB,Healthcare,2024-05-22 06:34:08,iOS,Kolkata
TXN0000014,USR00128,cbatra@okhdfcbank,khoslaaradhana@okhdfcbank,58.22,INR,SUCCESS,Amazon Pay,Canara,Utilities,2024-08-27 01:43:41,iOS,Delhi
TXN0000015,USR00048,skarpe@okhdfcbank,turvi28@okhdfcbank,279.66,INR,SUCCESS,BHIM,Canara,Groceries,2024-05-22 09:28:51,Android,Kolkata
TXN0000016,USR00285,basusamuel@paytm,pauekaja@paytm,36346.62,INR,SUCCESS,BHIM,ICICI,Travel,2024-01-31 08:24:16,iOS,Hyderabad
TXN0000017,USR00081,chandani69@oksbi,wdevan@axl,46372.42,INR,SUCCESS,PhonePe,ICICI,Shopping,2024-01-30 17:03:47,Web,Mumbai
TXN0000018,USR00299,waliadarpan@axl,ishukla@axl,8689.25,INR,SUCCESS,Paytm,Kotak,Travel,2024-12-11 12:07:56,Web,Pune
TXN0000019,USR00319,hemangini71@axl,shaurya97@oksbi,3883.39,INR,SUCCESS,PhonePe,Axis,Fuel,2024-05-02 10:42:41,iOS,Delhi
TXN0000020,USR00271,jeevika90@oksbi,wmahal@paytm,32525.5,INR,SUCCESS,Amazon Pay,Kotak,Shopping,2024-06-27 07:23:18,Android,Chennai
TXN0000021,USR00136,adweta98@axl,kibewyatt@ybl,14161.88,INR,SUCCESS,Paytm,SBI,Shopping,2024-02-29 23:35:09,Web,Kolkata
TXN0000022,USR00288,baghyawatikibe@oksbi,jatin06@oksbi,3835.54,INR,SUCCESS,PhonePe,ICICI,Fuel,2024-05-21 19:49:08,Android,Pune
TXN0000023,USR00108,tanish08@paytm,gangulyyashvi@okhdfcbank,4082.55,INR,SUCCESS,CRED,HDFC,Healthcare,2024-10-25 13:08:02,Web,Kolkata
TXN0000024,USR00171,pdash@ybl,kandaoscar@paytm,6115.39,INR,SUCCESS,CRED,Axis,Entertainment,2024-11-13 07:55:10,Android,Mumbai
TXN0000025,USR00115,brarharshil@oksbi,dayita65@paytm,235.55,INR,SUCCESS,Google Pay,BOB,Healthcare,2024-07-14 15:14:12,iOS,Mumbai
TXN0000026,USR00092,dsrinivasan@axl,kevin00@okicici,4726.57,INR,FAILED,PhonePe,HDFC,Rent,2024-05-22 22:25:43,iOS,Pune
TXN0000027,USR00276,skrishnan@paytm,skadakia@paytm,24622.59,INR,SUCCESS,CRED,Axis,Healthcare,2024-06-09 22:07:24,iOS,Mumbai
TXN0000028,USR00168,xitikale@ybl,duttasara@paytm,1851.45,INR,SUCCESS,Paytm,ICICI,Travel,2024-12-06 19:20:42,iOS,Kolkata
TXN0000029,USR00297,dayamaikari@axl,zarnade@paytm,501.83,INR,SUCCESS,Paytm,Canara,Groceries,2024-12-12 05:39:36,iOS,Hyderabad
TXN0000030,USR00345,megha26@okicici,qnazareth@okhdfcbank,335.29,INR,SUCCESS,Google Pay,ICICI,Food & Dining,2024-09-18 10:42:05,Android,Hyderabad
TXN0000031,USR00125,satheluke@okhdfcbank,wishi69@paytm,3732.56,INR,SUCCESS,CRED,SBI,Shopping,2024-08-31 02:29:26,iOS,Hyderabad
TXN0000032,USR00063,raghav91@ybl,jvala@okhdfcbank,3.24,INR,SUCCESS,BHIM,PNB,Groceries,2024-03-31 22:33:29,Web,Kolkata
TXN0000033,USR00249,kulkarniazaan@paytm,jhalakagrawal@okhdfcbank,33694.76,INR,SUCCESS,Paytm,Canara,Shopping,2024-10-07 10:47:55,Web,Chennai
TXN0000034,USR00197,gparsa@paytm,frado18@okhdfcbank,2.36,INR,PENDING,CRED,Axis,Shopping,2024-04-30 19:57:34,iOS,Kolkata
TXN0000035,USR00392,krishabha@axl,npandey@ybl,200.84,INR,PENDING,BHIM,SBI,Healthcare,2024-06-18 20:03:13,iOS,Kolkata
TXN0000036,USR00173,jeremiah17@paytm,damyanti65@paytm,1728.21,INR,FAILED,BHIM,ICICI,Groceries,2024-08-02 22:51:38,Android,Bengaluru
TXN0000037,USR00168,yaminimane@okhdfcbank,balveernagy@ybl,2577.64,INR,SUCCESS,Paytm,PNB,Education,2024-07-20 21:01:05,iOS,Kolkata
TXN0000038,USR00021,hemang23@oksbi,balendramane@okhdfcbank,34256.48,INR,SUCCESS,Google Pay,SBI,Rent,2024-05-09 15:01:47,Android,Hyderabad
TXN0000039,USR00368,balveerdass@oksbi,dadabhavya@okhdfcbank,32265.17,INR,SUCCESS,Paytm,HDFC,Rent,2024-03-05 09:36:13,Android,Chennai
TXN0000040,USR00396,chaman60@okicici,patilyuvraj@paytm,15928.22,INR,SUCCESS,Amazon Pay,HDFC,Rent,2024-10-21 12:25:45,Android,Pune
TXN0000041,USR00186,bhavinishanker@paytm,frederickyohannan@ybl,2390.26,INR,SUCCESS,CRED,ICICI,Education,2024-09-29 19:04:32,Android,Chennai
TXN0000042,USR00045,kharetamanna@okicici,galavarsha@ybl,414.61,INR,SUCCESS,Google Pay,Canara,Rent,2024-11-11 17:49:30,Web,Kolkata
TXN0000043,USR00142,wdayal@axl,jsamra@oksbi,44614.4,INR,SUCCESS,Amazon Pay,Axis,Shopping,2024-06-21 19:11:31,Android,Kolkata
TXN0000044,USR00208,vivaansama@paytm,sneha84@okhdfcbank,250.5,INR,PENDING,Paytm,PNB,Groceries,2024-09-07 07:44:30,Web,Pune
TXN0000045,USR00162,pallavi59@oksbi,kamyamangat@paytm,142.75,INR,SUCCESS,Amazon Pay,ICICI,Travel,2024-08-05 17:21:22,Android,Ahmedabad
